algorithm,function,ert_m8,ert_m5,ert_m3,log10ert_area,error_avg,errorbounded_avg
CMA-ES-Akimoto,f23d10,232532.21666666665,231780.525,227095.38333333336,0.10128628347630002,0.004800006973333335,0.0048000000000000004
CMA-ES-Akimoto,f24d10,2278090.066666667,2276170.1,2274998.533333333,0.08200049275504595,0.30966666826666667,0.30966666666666665
CMA-ES-pycma,f1d10,145.84666666666666,99.88,69.15333333333334,0.05042738306709067,5.280000000000001e-09,0.0
CMA-ES-pycma,f2d10,416.99333333333334,372.24666666666667,341.2,0.061047754138301734,5.606666666666667e-09,0.0
CMA-ES-pycma,f3d10,2260039.833333333,2259653.2,2259426.6,0.11977262285413504,0.9673333334533335,0.9673333333333335
CMA-ES-pycma,f4d10,,,,0.4918811066679334,5.3,5.3
CMA-ES-pycma,f5d10,13.406666666666666,,,0.0299273936745924,0.0,0.0
CMA-ES-pycma,f6d10,412.5,292.73333333333335,219.15333333333334,0.0831158108894532,8.086666666666667e-09,0.0
CMA-ES-pycma,f7d10,420.02,,,0.0845065729584917,4.762666666666667e-09,0.0
CMA-ES-pycma,f8d10,584.5133333333333,536.9666666666667,501.5333333333333,0.06290048283902748,5.013333333333333e-09,0.0
CMA-ES-pycma,f9d10,579.5733333333334,531.3399999999999,495.1933333333333,0.021448111330113193,4.953333333333333e-09,0.0
CMA-ES-pycma,f10d10,418.16,369.29333333333335,338.8466666666667,0.06456384177628943,5.733333333333333e-09,0.0
CMA-ES-pycma,f11d10,298.7266666666667,252.19333333333333,221.71999999999997,0.08908262201011406,5.293333333333334e-09,0.0
CMA-ES-pycma,f12d10,1061.1399999999999,873.0133333333333,687.9466666666666,0.08487768151113458,8.693333333333333e-09,0.0
CMA-ES-pycma,f13d10,922.54,633.5066666666667,408.06,0.0667760671677191,7.32e-09,0.0
CMA-ES-pycma,f14d10,378.44666666666666,218.84,116.57333333333334,0.07651160716532349,8.56e-09,0.0
CMA-ES-pycma,f15d10,7812.706666666667,7415.666666666667,7149.646666666666,0.06115121375379896,4.842666666666666e-10,0.0
CMA-ES-pycma,f16d10,3381.7066666666665,3197.253333333333,3053.48,0.059220135283940295,1.0129333333333334e-09,0.0
